Map,Half,CT Score,TR Score,Players JSON,Date,Match ID
de_tuscan,Second Half,9,6,"[{""name"": ""RichNigga_ex"", ""kills"": 24, ""deaths"": 8, ""flag"": ""🇨"", ""team"": ""CT""}, {""name"": ""OBBE_ex"", ""kills"": 11, ""deaths"": 12, ""flag"": ""🇳"", ""team"": ""CT""}, {""name"": ""MrBob"", ""kills"": 11, ""deaths"": 12, ""flag"": ""🇺"", ""team"": ""CT""}, {""name"": ""ppe - RAT of RATs"", ""kills"": 10, ""deaths"": 11, ""flag"": ""🇬"", ""team"": ""CT""}, {""name"": ""JhoN"", ""kills"": 9, ""deaths"": 10, ""flag"": ""🇷"", ""team"": ""CT""}, {""name"": ""hold ma beer"", ""kills"": 21, ""deaths"": 10, ""flag"": ""🇫"", ""team"": ""TR""}, {""name"": ""亡廾乇亡片爪丹卞乇"", ""kills"": 15, ""deaths"": 12, ""flag"": ""🇩"", ""team"": ""TR""}, {""name"": ""bondadm007"", ""kills"": 6, ""deaths"": 12, ""flag"": ""🇺"", ""team"": ""TR""}, {""name"": ""АFК"", ""kills"": 5, ""deaths"": 13, ""flag"": ""🇳"", ""team"": ""TR""}, {""name"": ""Edog"", ""kills"": 5, ""deaths"": 13, ""flag"": ""🇨"", ""team"": ""TR""}]",2025-09-21,6
de_cache_v2,First Half,6,9,"[{""name"": ""ljuenna_ex"", ""kills"": 20, ""deaths"": 11, ""flag"": ""🏳"", ""team"": ""CT""}, {""name"": ""Henri"", ""kills"": 10, ""deaths"": 12, ""flag"": ""🇧"", ""team"": ""CT""}, {""name"": ""OBBE_ex"", ""kills"": 9, ""deaths"": 13, ""flag"": ""🇳"", ""team"": ""CT""}, {""name"": ""NsD"", ""kills"": 8, ""deaths"": 13, ""flag"": ""🇪"", ""team"": ""CT""}, {""name"": ""lilithhh"", ""kills"": 6, ""deaths"": 1, ""flag"": ""🏳"", ""team"": ""CT""}, {""name"": ""PAWELEQQKHS"", ""kills"": 25, ""deaths"": 9, ""flag"": ""🇵"", ""team"": ""TR""}, {""name"": ""TRACK"", ""kills"": 8, ""deaths"": 9, ""flag"": ""🇧"", ""team"": ""TR""}, {""name"": ""Damn it"", ""kills"": 7, ""deaths"": 10, ""flag"": ""🇵"", ""team"": ""TR""}, {""name"": ""Edog"", ""kills"": 6, ""deaths"": 12, ""flag"": ""🏳"", ""team"": ""TR""}, {""name"": ""RichNigga_ex"", ""kills"": 5, ""deaths"": 8, ""flag"": ""🏳"", ""team"": ""TR""}]",2025-09-21,6
de_cache_v2,Second Half,2,10,"[{""name"": ""PAWELEQQKHS"", ""kills"": 12, ""deaths"": 10, ""flag"": ""🇵"", ""team"": ""CT""}, {""name"": ""TRACK"", ""kills"": 11, ""deaths"": 11, ""flag"": ""🇧"", ""team"": ""CT""}, {""name"": ""Edog"", ""kills"": 5, ""deaths"": 12, ""flag"": ""🏳"", ""team"": ""CT""}, {""name"": ""Damn it"", ""kills"": 3, ""deaths"": 12, ""flag"": ""🇵"", ""team"": ""CT""}, {""name"": ""RichNigga_ex"", ""kills"": 3, ""deaths"": 4, ""flag"": ""🏳"", ""team"": ""CT""}, {""name"": ""ljuenna_ex"", ""kills"": 17, ""deaths"": 5, ""flag"": ""🏳"", ""team"": ""TR""}, {""name"": ""Henri"", ""kills"": 10, ""deaths"": 6, ""flag"": ""🇧"", ""team"": ""TR""}, {""name"": ""lilithhh"", ""kills"": 10, ""deaths"": 4, ""flag"": ""🏳"", ""team"": ""TR""}, {""name"": ""OBBE_ex"", ""kills"": 9, ""deaths"": 10, ""flag"": ""🇳"", ""team"": ""TR""}, {""name"": ""NsD"", ""kills"": 6, ""deaths"": 6, ""flag"": ""🇪"", ""team"": ""TR""}]",2025-09-21,7
de_inferno,First Half,5,10,"[{""name"": ""Damn it"", ""kills"": 17, ""deaths"": 14, ""flag"": ""🇵"", ""team"": ""CT""}, {""name"": ""亡廾乇亡片爪丹卞乇"", ""kills"": 16, ""deaths"": 10, ""flag"": ""🇩"", ""team"": ""CT""}, {""name"": ""HostVirus"", ""kills"": 15, ""deaths"": 12, ""flag"": ""🇺"", ""team"": ""CT""}, {""name"": ""RichNigga_ex"", ""kills"": 7, ""deaths"": 14, ""flag"": ""🇨"", ""team"": ""CT""}, {""name"": ""poopies__"", ""kills"": 7, ""deaths"": 15, ""flag"": ""🇺"", ""team"": ""CT""}, {""name"": ""PAWELEQQKHS"", ""kills"": 21, ""deaths"": 10, ""flag"": ""🇵"", ""team"": ""TR""}, {""name"": ""ppe - RAT of RATs"", ""kills"": 20, ""deaths"": 8, ""flag"": ""🇬"", ""team"": ""TR""}, {""name"": ""lilithhh"", ""kills"": 13, ""deaths"": 7, ""flag"": ""🇷"", ""team"": ""TR""}, {""name"": ""TRACK"", ""kills"": 6, ""deaths"": 13, ""flag"": ""🇧"", ""team"": ""TR""}, {""name"": ""OBBE_ex"", ""kills"": 5, ""deaths"": 15, ""flag"": ""🇳"", ""team"": ""TR""}]",2025-09-21,7
de_inferno,Second Half,6,9,"[{""name"": ""OBBE_ex"", ""kills"": 16, ""deaths"": 9, ""flag"": ""🇳"", ""team"": ""CT""}, {""name"": ""PAWELEQQKHS"", ""kills"": 13, ""deaths"": 12, ""flag"": ""🇵"", ""team"": ""CT""}, {""name"": ""lilithhh"", ""kills"": 13, ""deaths"": 12, ""flag"": ""🇷"", ""team"": ""CT""}, {""name"": ""ppe - RAT of RATs"", ""kills"": 8, ""deaths"": 13, ""flag"": ""🇬"", ""team"": ""CT""}, {""name"": ""TRACK"", ""kills"": 7, ""deaths"": 11, ""flag"": ""🇧"", ""team"": ""CT""}, {""name"": ""RichNigga_ex"", ""kills"": 15, ""deaths"": 9, ""flag"": ""🇨"", ""team"": ""TR""}, {""name"": ""poopies__"", ""kills"": 13, ""deaths"": 9, ""flag"": ""🇺"", ""team"": ""TR""}, {""name"": ""亡廾乇亡片爪丹卞乇"", ""kills"": 12, ""deaths"": 10, ""flag"": ""🇩"", ""team"": ""TR""}, {""name"": ""HostVirus"", ""kills"": 9, ""deaths"": 11, ""flag"": ""🇺"", ""team"": ""TR""}, {""name"": ""Player 82679641"", ""kills"": 0, ""deaths"": 3, ""flag"": ""🇵"", ""team"": ""TR""}]",2025-09-21,8
de_nuke,First Half,8,7,"[{""name"": ""PAWELEQQKHS"", ""kills"": 21, ""deaths"": 9, ""flag"": ""🇵"", ""team"": ""CT""}, {""name"": ""ppe - RAT of RATs"", ""kills"": 17, ""deaths"": 9, ""flag"": ""🇬"", ""team"": ""CT""}, {""name"": ""NsD"", ""kills"": 13, ""deaths"": 9, ""flag"": ""🇪"", ""team"": ""CT""}, {""name"": ""poopies__"", ""kills"": 10, ""deaths"": 12, ""flag"": ""🇺"", ""team"": ""CT""}, {""name"": ""Damn it"", ""kills"": 5, ""deaths"": 9, ""flag"": ""🇵"", ""team"": ""CT""}, {""name"": ""lilithhh"", ""kills"": 18, ""deaths"": 9, ""flag"": ""🇷"", ""team"": ""TR""}, {""name"": ""亡廾乇亡片爪丹卞乇"", ""kills"": 14, ""deaths"": 12, ""flag"": ""🇩"", ""team"": ""TR""}, {""name"": ""TRACK"", ""kills"": 11, ""deaths"": 13, ""flag"": ""🇧"", ""team"": ""TR""}, {""name"": ""HostVirus"", ""kills"": 7, ""deaths"": 13, ""flag"": ""🇺"", ""team"": ""TR""}, {""name"": ""OBBE_ex"", ""kills"": 6, ""deaths"": 14, ""flag"": ""🇳"", ""team"": ""TR""}]",2025-09-21,8
de_nuke,Second Half,5,8,"[{""name"": ""lilithhh"", ""kills"": 11, ""deaths"": 9, ""flag"": ""🇷"", ""team"": ""CT""}, {""name"": ""TRACK"", ""kills"": 10, ""deaths"": 11, ""flag"": ""🇧"", ""team"": ""CT""}, {""name"": ""HostVirus"", ""kills"": 10, ""deaths"": 10, ""flag"": ""🇺"", ""team"": ""CT""}, {""name"": ""OBBE_ex"", ""kills"": 9, ""deaths"": 12, ""flag"": ""🇳"", ""team"": ""CT""}, {""name"": ""亡廾乇亡片爪丹卞乇"", ""kills"": 6, ""deaths"": 11, ""flag"": ""🇩"", ""team"": ""CT""}, {""name"": ""PAWELEQQKHS"", ""kills"": 19, ""deaths"": 7, ""flag"": ""🇵"", ""team"": ""TR""}, {""name"": ""ppe - RAT of RATs"", ""kills"": 11, ""deaths"": 8, ""flag"": ""🇬"", ""team"": ""TR""}, {""name"": ""poopies__"", ""kills"": 9, ""deaths"": 9, ""flag"": ""🇺"", ""team"": ""TR""}, {""name"": ""RichNigga_ex"", ""kills"": 9, ""deaths"": 10, ""flag"": ""🏳"", ""team"": ""TR""}, {""name"": ""NsD"", ""kills"": 5, ""deaths"": 9, ""flag"": ""🇪"", ""team"": ""TR""}]",2025-09-21,9
de_mirage,First Half,2,6,"[{""name"": ""Bang Bang"", ""kills"": 8, ""deaths"": 6, ""flag"": ""🏳"", ""team"": ""CT""}, {""name"": ""HostVirus"", ""kills"": 7, ""deaths"": 6, ""flag"": ""🇺"", ""team"": ""CT""}, {""name"": ""poopies__"", ""kills"": 5, ""deaths"": 6, ""flag"": ""🇺"", ""team"": ""CT""}, {""name"": ""kladdkaka"", ""kills"": 4, ""deaths"": 7, ""flag"": ""🏳"", ""team"": ""CT""}, {""name"": ""亡廾乇亡片爪丹卞乇"", ""kills"": 2, ""deaths"": 8, ""flag"": ""🇩"", ""team"": ""CT""}, {""name"": ""PAWELEQQKHS"", ""kills"": 13, ""deaths"": 5, ""flag"": ""🇵"", ""team"": ""TR""}, {""name"": ""OBBE_ex"", ""kills"": 7, ""deaths"": 6, ""flag"": ""🇳"", ""team"": ""TR""}, {""name"": ""RichNigga_ex"", ""kills"": 6, ""deaths"": 5, ""flag"": ""🇨"", ""team"": ""TR""}, {""name"": ""NsD"", ""kills"": 5, ""deaths"": 3, ""flag"": ""🇪"", ""team"": ""TR""}, {""name"": ""ppe - RAT of RATs"", ""kills"": 2, ""deaths"": 7, ""flag"": ""🇬"", ""team"": ""TR""}]",2025-09-21,9
de_mirage,First Half,3,12,"[{""name"": ""Bang Bang"", ""kills"": 12, ""deaths"": 13, ""flag"": ""🏳"", ""team"": ""CT""}, {""name"": ""HostVirus"", ""kills"": 10, ""deaths"": 13, ""flag"": ""🇺"", ""team"": ""CT""}, {""name"": ""poopies__"", ""kills"": 8, ""deaths"": 12, ""flag"": ""🇺"", ""team"": ""CT""}, {""name"": ""kladdkaka"", ""kills"": 6, ""deaths"": 14, ""flag"": ""🏳"", ""team"": ""CT""}, {""name"": ""亡廾乇亡片爪丹卞乇"", ""kills"": 2, ""deaths"": 3, ""flag"": ""🇩"", ""team"": ""CT""}, {""name"": ""PAWELEQQKHS"", ""kills"": 28, ""deaths"": 6, ""flag"": ""🇵"", ""team"": ""TR""}, {""name"": ""OBBE_ex"", ""kills"": 16, ""deaths"": 9, ""flag"": ""🇳"", ""team"": ""TR""}, {""name"": ""NsD"", ""kills"": 9, ""deaths"": 7, ""flag"": ""🇪"", ""team"": ""TR""}, {""name"": ""ppe - RAT of RATs"", ""kills"": 8, ""deaths"": 11, ""flag"": ""🇬"", ""team"": ""TR""}, {""name"": ""RichNigga_ex"", ""kills"": 7, ""deaths"": 8, ""flag"": ""🇨"", ""team"": ""TR""}]",2025-09-21,10
de_mirage,Second Half,4,0,"[{""name"": ""RichNigga_ex"", ""kills"": 9, ""deaths"": 1, ""flag"": ""🇨"", ""team"": ""CT""}, {""name"": ""PAWELEQQKHS"", ""kills"": 8, ""deaths"": 1, ""flag"": ""🇵"", ""team"": ""CT""}, {""name"": ""NsD"", ""kills"": 5, ""deaths"": 2, ""flag"": ""🇪"", ""team"": ""CT""}, {""name"": ""OBBE_ex"", ""kills"": 1, ""deaths"": 1, ""flag"": ""🇳"", ""team"": ""CT""}, {""name"": ""ppe - RAT of RATs"", ""kills"": 0, ""deaths"": 1, ""flag"": ""🇬"", ""team"": ""CT""}, {""name"": ""HostVirus"", ""kills"": 3, ""deaths"": 4, ""flag"": ""🇺"", ""team"": ""TR""}, {""name"": ""poopies__"", ""kills"": 2, ""deaths"": 4, ""flag"": ""🇺"", ""team"": ""TR""}, {""name"": ""亡廾乇亡片爪丹卞乇"", ""kills"": 1, ""deaths"": 4, ""flag"": ""🇩"", ""team"": ""TR""}, {""name"": ""kladdkaka"", ""kills"": 0, ""deaths"": 4, ""flag"": ""🏳"", ""team"": ""TR""}, {""name"": ""Bang Bang"", ""kills"": 0, ""deaths"": 4, ""flag"": ""🏳"", ""team"": ""TR""}]",2025-09-21,10
